sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t1,corr,256,1,guided,1,7,1,0.001101767,0.001103047,0.001102975,0.001103461,5592405.333333333,5.069961056,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t2,corr,256,2,guided,1,7,1,0.000895213,0.000902511,0.000901390,0.000909227,5592405.333333333,6.196495481,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t4,corr,256,4,guided,1,7,1,0.000803738,0.000812243,0.000811358,0.000821302,5592405.333333333,6.885138232,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t6,corr,256,6,guided,1,7,1,0.000827168,0.000849695,0.000844588,0.000854884,5592405.333333333,6.581662047,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t8,corr,256,8,guided,1,7,1,0.000785408,0.000803963,0.000807034,0.000828851,5592405.333333333,6.956048143,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t10,corr,256,10,guided,1,7,1,0.000760355,0.000777640,0.000776715,0.000793160,5592405.333333333,7.191509353,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t12,corr,256,12,guided,1,7,1,0.000747691,0.000768718,0.000768906,0.000785454,5592405.333333333,7.274976433,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t14,corr,256,14,guided,1,7,1,0.000747554,0.000757847,0.000760629,0.000776162,5592405.333333333,7.379332944,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t16,corr,256,16,guided,1,7,1,0.000752849,0.000756727,0.000759271,0.000769279,5592405.333333333,7.390254786,524288.000000000,0.500000000
thread_scaling_extended_n256,cholesky_v4_parallel_opt_icelake_thread_scaling_study_thread_ext_n256_t18,corr,256,18,guided,1,7,1,0.000739459,0.000747119,0.000749026,0.000756615,5592405.333333333,7.485293954,524288.000000000,0.500000000
